dataset,category,model,interpolation,pooling,K,window_size,detection,image_AUROC,pixel_AUPRO
visa,pcb3,spalwinnn,bilinear,False,-1,7,True,0.9574257731437683,0.8851308226585388
visa,pcb4,spalwinnn,bilinear,False,-1,7,True,0.9978217482566833,0.8639156818389893
visa,pipe_fryum,spalwinnn,bilinear,False,-1,7,True,0.9922000169754028,0.9450855255126953
visa,candle,spalwinnn,bilinear,False,-1,9,True,0.8659999966621399,0.9511160254478455
visa,capsules,spalwinnn,bilinear,False,-1,9,True,0.7586666345596313,0.8294951319694519
visa,cashew,spalwinnn,bilinear,False,-1,9,True,0.9273999929428101,0.8413073420524597
visa,chewinggum,spalwinnn,bilinear,False,-1,9,True,0.973800003528595,0.6822441220283508
visa,fryum,spalwinnn,bilinear,False,-1,9,True,0.9429999589920044,0.8649203777313232
visa,macaroni1,spalwinnn,bilinear,False,-1,9,True,0.9487000703811646,0.9330601692199707
visa,macaroni2,spalwinnn,bilinear,False,-1,9,True,0.8700999617576599,0.8835461139678955
visa,pcb1,spalwinnn,bilinear,False,-1,9,True,0.947100043296814,0.9038290977478027
visa,pcb2,spalwinnn,bilinear,False,-1,9,True,0.9286999702453613,0.9007935523986816
visa,pcb3,spalwinnn,bilinear,False,-1,9,True,0.9528713226318359,0.8877209424972534
visa,pcb4,spalwinnn,bilinear,False,-1,9,True,0.9950495362281799,0.869530439376831
visa,pipe_fryum,spalwinnn,bilinear,False,-1,9,True,0.989799976348877,0.946696937084198
visa,candle,spalwinnn,bilinear,False,-1,11,True,0.8744999766349792,0.9507652521133423
visa,capsules,spalwinnn,bilinear,False,-1,11,True,0.7568333148956299,0.8400501012802124
visa,cashew,spalwinnn,bilinear,False,-1,11,True,0.9291999340057373,0.839982807636261
visa,chewinggum,spalwinnn,bilinear,False,-1,11,True,0.9712000489234924,0.6858818531036377
visa,fryum,spalwinnn,bilinear,False,-1,11,True,0.9421999454498291,0.8659604787826538
visa,macaroni1,spalwinnn,bilinear,False,-1,11,True,0.9499000310897827,0.936066210269928
visa,macaroni2,spalwinnn,bilinear,False,-1,11,True,0.8921999931335449,0.9057179689407349
