dataset,category,model,interpolation_mode,pooling,K,window_size,anomaly_map_detection,image_AUROC,pixel_AUPRO
mvtec_ad,bottle,spalwinnn,nearest,False,50,1,False,0.9888888597488404,0.9478507041931152
mvtec_ad,bottle,spalwinnn,nearest,True,50,1,False,0.9928570985794068,0.94034081697464
mvtec_ad,bottle,spalwinnn,bilinear,True,50,1,False,0.9928570985794068,0.9404653310775756
mvtec_ad,bottle,spalwinnn,bilinear,True,-1,1,True,1.0,0.9408181309700012
mvtec_ad,bottle,spalwinnn,bilinear,True,-1,5,True,1.0,0.9410210251808168
mvtec_ad,cable,spalwinnn,nearest,False,50,1,False,0.8131558895111084,0.8490590453147888
mvtec_ad,cable,spalwinnn,nearest,True,50,1,False,0.8725637793540955,0.9105551242828368
mvtec_ad,cable,spalwinnn,bilinear,True,50,1,False,0.8740629553794861,0.9126160144805908
mvtec_ad,cable,spalwinnn,bilinear,True,-1,1,True,0.933095932006836,0.9096145629882812
mvtec_ad,cable,spalwinnn,bilinear,True,-1,5,True,0.9642053842544556,0.9224292039871216
mvtec_ad,capsule,spalwinnn,nearest,False,50,1,False,0.759473443031311,0.9312775731086732
mvtec_ad,capsule,spalwinnn,nearest,True,50,1,False,0.7794175744056702,0.932693362236023
mvtec_ad,capsule,spalwinnn,bilinear,True,50,1,False,0.7794175744056702,0.9343838691711426
mvtec_ad,capsule,spalwinnn,bilinear,True,-1,1,True,0.949740707874298,0.9357309341430664
mvtec_ad,capsule,spalwinnn,bilinear,True,-1,5,True,0.9912245273590088,0.9404926896095276
mvtec_ad,carpet,spalwinnn,nearest,False,50,1,False,0.7331461310386658,0.9520582556724548
mvtec_ad,carpet,spalwinnn,nearest,True,50,1,False,0.6882022619247437,0.9507360458374025
mvtec_ad,carpet,spalwinnn,bilinear,True,50,1,False,0.6805778741836548,0.9503723978996276
mvtec_ad,carpet,spalwinnn,bilinear,True,-1,1,True,0.9863563776016236,0.949848771095276
mvtec_ad,carpet,spalwinnn,bilinear,True,-1,5,True,0.9819421768188475,0.9460915327072144
mvtec_ad,grid,spalwinnn,nearest,False,50,1,False,0.7752715349197388,0.8332493901252747
mvtec_ad,grid,spalwinnn,nearest,True,50,1,False,0.6541353464126587,0.8523958921432495
mvtec_ad,grid,spalwinnn,bilinear,True,50,1,False,0.646616518497467,0.845326840877533
mvtec_ad,grid,spalwinnn,bilinear,True,-1,1,True,0.9590643644332886,0.8452926874160767
mvtec_ad,grid,spalwinnn,bilinear,True,-1,5,True,0.981620728969574,0.9047165513038636
mvtec_ad,hazelnut,spalwinnn,nearest,False,50,1,False,0.9392857551574708,0.9472345113754272
mvtec_ad,hazelnut,spalwinnn,nearest,True,50,1,False,0.9296427965164183,0.946861207485199
mvtec_ad,hazelnut,spalwinnn,bilinear,True,50,1,False,0.9282143115997314,0.9475307464599608
mvtec_ad,hazelnut,spalwinnn,bilinear,True,-1,1,True,0.9914286732673644,0.9470293521881104
mvtec_ad,hazelnut,spalwinnn,bilinear,True,-1,5,True,0.9967858195304872,0.9507577419281006
mvtec_ad,leather,spalwinnn,nearest,False,50,1,False,0.7978940010070801,0.9783772826194764
mvtec_ad,leather,spalwinnn,nearest,True,50,1,False,0.9072690606117249,0.9701642394065856
mvtec_ad,leather,spalwinnn,bilinear,True,50,1,False,0.8960597515106201,0.9702548384666444
mvtec_ad,leather,spalwinnn,bilinear,True,-1,1,True,0.9989809393882751,0.9697654843330384
mvtec_ad,leather,spalwinnn,bilinear,True,-1,5,True,0.9989809393882751,0.9693375825881958
mvtec_ad,metal_nut,spalwinnn,nearest,False,50,1,False,0.796676516532898,0.9333209991455078
mvtec_ad,metal_nut,spalwinnn,nearest,True,50,1,False,0.8289344906806946,0.9358616471290588
mvtec_ad,metal_nut,spalwinnn,bilinear,True,50,1,False,0.8274682760238647,0.9369914531707764
mvtec_ad,metal_nut,spalwinnn,bilinear,True,-1,1,True,0.9931573867797852,0.9362732172012328
