dataset,category_type,None_im,None_pix,1_im,1_pix,1+2_im,1+2_pix,1+2+3_im,1+2+3_pix,1+2+3+4_im,1+2+3+4_pix,1+2+3+4+5_im,1+2+3+4+5_pix
mvtec_ad,objects,0.8268165677785874,0.9291013181209564,0.8460674196481704,0.9370596647262573,0.8455688744783402,0.9379412174224854,0.9617654502391815,0.9379356145858765,0.962995421886444,0.9379453063011169,0.9747202038764954,0.9423465132713318
mvtec_ad,bottle,0.9888888597488404,0.9478507041931152,0.9928570985794068,0.94034081697464,0.9928570985794068,0.9404653310775756,1.0,0.9404653310775756,1.0,0.9408181309700012,1.0,0.9410210251808168
mvtec_ad,cable,0.8131558895111084,0.8490590453147888,0.8725637793540955,0.9105551242828368,0.8740629553794861,0.9126160144805908,0.9467766284942628,0.9126160144805908,0.933095932006836,0.9096145629882812,0.9642053842544556,0.9224292039871216
mvtec_ad,capsule,0.759473443031311,0.9312775731086732,0.7794175744056702,0.932693362236023,0.7794175744056702,0.9343838691711426,0.9485440254211426,0.9343838691711426,0.949740707874298,0.9357309341430664,0.9912245273590088,0.9404926896095276
mvtec_ad,hazelnut,0.9392857551574708,0.9472345113754272,0.9296427965164183,0.946861207485199,0.9282143115997314,0.9475307464599608,0.9928572177886964,0.9475301504135132,0.9914286732673644,0.9470293521881104,0.9967858195304872,0.9507577419281006
mvtec_ad,metal_nut,0.796676516532898,0.9333209991455078,0.8289344906806946,0.9358616471290588,0.8274682760238647,0.9369914531707764,0.9941349029541016,0.9369914531707764,0.9931573867797852,0.9362732172012328,0.9980449676513672,0.9417085647583008
mvtec_ad,pill,0.8374248743057251,0.9335286617279052,0.8611565828323364,0.9455282688140868,0.859519898891449,0.9473289251327516,0.8936170935630798,0.9473289251327516,0.9135297536849976,0.9497190713882446,0.926895797252655,0.9533351063728333
mvtec_ad,screw,0.4734576642513275,0.9519863724708556,0.4658741652965545,0.9584710001945496,0.4640295207500458,0.959700345993042,0.9696658849716188,0.959700345993042,0.9743798971176147,0.9605787992477416,0.9842180013656616,0.966218113899231
mvtec_ad,toothbrush,0.9222221970558168,0.941231906414032,0.9250000715255736,0.9158550500869752,0.9250000715255736,0.9161926507949828,0.9583333134651184,0.9161926507949828,0.9583333134651184,0.9161900281906128,0.9444444179534912,0.9149545431137084
mvtec_ad,transistor,0.8279166221618652,0.9193503856658936,0.871666669845581,0.9489202499389648,0.872083306312561,0.9489774107933044,0.9854166507720948,0.9489774107933044,0.9866666793823242,0.9457712173461914,0.9941667318344116,0.950705111026764
mvtec_ad,zipper,0.9096638560295104,0.9361730217933656,0.9335609674453736,0.9355099201202391,0.9330357313156128,0.9352254271507264,0.9283087849617004,0.9351699948310852,0.9296218752861024,0.9377277493476868,0.9472163915634156,0.941843032836914
mvtec_ad,textures,0.8228063583374023,0.8718084216117858,0.8183461785316467,0.8911784529685974,0.8123329162597657,0.8914652824401855,0.9830181002616882,0.8914652824401855,0.9840941309928894,0.8923918008804321,0.9890425205230713,0.9038241744041443
mvtec_ad,carpet,0.7331461310386658,0.9520582556724548,0.6882022619247437,0.9507360458374025,0.6805778741836548,0.9503723978996276,0.9859549403190612,0.9503723978996276,0.9863563776016236,0.949848771095276,0.9819421768188475,0.9460915327072144
mvtec_ad,grid,0.7752715349197388,0.8332493901252747,0.6541353464126587,0.8523958921432495,0.646616518497467,0.845326840877533,0.9598997831344604,0.845326840877533,0.9590643644332886,0.8452926874160767,0.981620728969574,0.9047165513038636
mvtec_ad,leather,0.7978940010070801,0.9783772826194764,0.9072690606117249,0.9701642394065856,0.8960597515106201,0.9702548384666444,0.999660313129425,0.9702548384666444,0.9989809393882751,0.9697654843330384,0.9989809393882751,0.9693375825881958
mvtec_ad,tile,0.8910533785820007,0.6900222301483154,0.943001389503479,0.8056477904319763,0.9419191479682922,0.8139019012451172,0.984487771987915,0.8139019012451172,0.9909812211990356,0.8184312582015991,0.9949495196342468,0.8206751346588135
mvtec_ad,wood,0.9166667461395264,0.9053349494934082,0.8991228342056274,0.8769482970237732,0.896491289138794,0.8774704337120056,0.9850876927375792,0.8774704337120056,0.985087752342224,0.8786208033561707,0.9877192378044128,0.8783000707626343
visa,complex_structure,0,0,0,0,0,0,0,0,0,0,0,0
visa,pcb1,0,0,0,0,0,0,0,0,0,0,0,0
visa,pcb2,0,0,0,0,0,0,0,0,0,0,0,0
visa,pcb3,0,0,0,0,0,0,0,0,0,0,0,0
visa,pcb4,0,0,0,0,0,0,0,0,0,0,0,0
visa,multiple_instances,0,0,0,0,0,0,0,0,0,0,0,0
visa,candle,0,0,0,0,0,0,0,0,0,0,0,0
visa,capsules,0,0,0,0,0,0,0,0,0,0,0,0
visa,macaroni1,0,0,0,0,0,0,0,0,0,0,0,0
visa,macaroni2,0,0,0,0,0,0,0,0,0,0,0,0
visa,single_instance,0,0,0,0,0,0,0,0,0,0,0,0
visa,cashew,0,0,0,0,0,0,0,0,0,0,0,0
visa,chewinggum,0,0,0,0,0,0,0,0,0,0,0,0
visa,fryum,0,0,0,0,0,0,0,0,0,0,0,0
visa,pipe_fryum,0,0,0,0,0,0,0,0,0,0,0,0
