dataset,category,model,run,latency
mvtec_ad,hazelnut,padim,3,0.17605271122672342
mvtec_ad,hazelnut,padim,4,0.17533985051241788
mvtec_ad,hazelnut,padim,5,0.17342999198219994
mvtec_ad,hazelnut,padim,6,0.17201732071963224
mvtec_ad,hazelnut,padim,7,0.17378889213908802
mvtec_ad,hazelnut,padim,8,0.17521111531691116
mvtec_ad,hazelnut,padim,9,0.17438343871723522
mvtec_ad,hazelnut,padim,10,0.1721820441159335
mvtec_ad,hazelnut,padim,11,0.1735516223040494
mvtec_ad,hazelnut,padim,12,0.17286000035025856
mvtec_ad,hazelnut,padim,13,0.17370148138566452
mvtec_ad,hazelnut,padim,14,0.17243186127055776
mvtec_ad,hazelnut,padim,15,0.17112018845298074
mvtec_ad,hazelnut,padim,16,0.17249168265949597
mvtec_ad,hazelnut,padim,17,0.1747249494899403
mvtec_ad,hazelnut,padim,18,0.17296591888774526
mvtec_ad,hazelnut,padim,19,0.17205380959944291
mvtec_ad,leather,padim,0,0.16783743135390744
mvtec_ad,leather,padim,1,0.16895812365316576
mvtec_ad,leather,padim,2,0.17285375825820432
mvtec_ad,leather,padim,3,0.17275491645259242
mvtec_ad,leather,padim,4,0.17043516712803994
mvtec_ad,leather,padim,5,0.17211689103034236
mvtec_ad,leather,padim,6,0.17370870805555774
mvtec_ad,leather,padim,7,0.17114554105266447
mvtec_ad,leather,padim,8,0.1741838974337424
mvtec_ad,leather,padim,9,0.17284439071532218
mvtec_ad,leather,padim,10,0.17069839277575094
mvtec_ad,leather,padim,11,0.17418428774802916
mvtec_ad,leather,padim,12,0.17124538075539372
mvtec_ad,leather,padim,13,0.1712514392791256
mvtec_ad,leather,padim,14,0.17072037150782923
mvtec_ad,leather,padim,15,0.17407337119502406
mvtec_ad,leather,padim,16,0.1704938450167256
mvtec_ad,leather,padim,17,0.17421108676541236
mvtec_ad,leather,padim,18,0.1808436397583254
mvtec_ad,leather,padim,19,0.18094615205641715
mvtec_ad,metal_nut,padim,0,0.1447402041891347
mvtec_ad,metal_nut,padim,1,0.14742322797360627
mvtec_ad,metal_nut,padim,2,0.1447995248048202
mvtec_ad,metal_nut,padim,3,0.14203073045481807
mvtec_ad,metal_nut,padim,4,0.14558257020038107
mvtec_ad,metal_nut,padim,5,0.28626823217972464
mvtec_ad,metal_nut,padim,6,0.14320678088975988
mvtec_ad,metal_nut,padim,7,0.14389622315116551
mvtec_ad,metal_nut,padim,8,0.14402053252510402
mvtec_ad,metal_nut,padim,9,0.14320578782454782
mvtec_ad,metal_nut,padim,10,0.14462775354800017
mvtec_ad,metal_nut,padim,11,0.14534447296806005
mvtec_ad,metal_nut,padim,12,0.14228836971780529
mvtec_ad,metal_nut,padim,13,0.1452300963194474
mvtec_ad,metal_nut,padim,14,0.1457804078641145
mvtec_ad,metal_nut,padim,15,0.14930056281711745
mvtec_ad,metal_nut,padim,16,0.146304408363674
mvtec_ad,metal_nut,padim,17,0.14609820117121158
mvtec_ad,metal_nut,padim,18,0.1463383322176726
mvtec_ad,metal_nut,padim,19,0.14543974710547405
mvtec_ad,pill,padim,0,0.1484692182369575
mvtec_ad,pill,padim,1,0.15664722248465715
mvtec_ad,pill,padim,2,0.2115763775602786
mvtec_ad,pill,padim,3,0.14813498251452417
mvtec_ad,pill,padim,4,0.1491417399423565
mvtec_ad,pill,padim,5,0.14934833035497608
mvtec_ad,pill,padim,6,0.14877887828621322
mvtec_ad,pill,padim,7,0.1487471157919147
mvtec_ad,pill,padim,8,0.16716556634731636
mvtec_ad,pill,padim,9,0.14970543855678536
mvtec_ad,pill,padim,10,0.15006499947188143
mvtec_ad,pill,padim,11,0.14924357465641228
mvtec_ad,pill,padim,12,0.21844021574465813
mvtec_ad,pill,padim,13,0.14893900848434358
mvtec_ad,pill,padim,14,0.14984950619543383
mvtec_ad,pill,padim,15,0.14852683986732346
mvtec_ad,pill,padim,16,0.14941928058327314
mvtec_ad,pill,padim,17,0.14975626882678733
mvtec_ad,pill,padim,18,0.14904235223096288
mvtec_ad,pill,padim,19,0.14885109627318238
mvtec_ad,screw,padim,0,0.13968058824539184
mvtec_ad,screw,padim,1,0.137570521235466
mvtec_ad,screw,padim,2,0.1368531569838524
mvtec_ad,screw,padim,3,0.13854122459888457
mvtec_ad,screw,padim,4,0.13607661724090575
mvtec_ad,screw,padim,5,0.13643401265144348
mvtec_ad,screw,padim,6,0.13466314524412154
mvtec_ad,screw,padim,7,0.1461717739701271
mvtec_ad,screw,padim,8,0.1346298098564148
mvtec_ad,screw,padim,9,0.13616277575492858
mvtec_ad,screw,padim,10,0.13802123814821243
mvtec_ad,screw,padim,11,0.13714466840028763
mvtec_ad,screw,padim,12,0.13605440855026246
mvtec_ad,screw,padim,13,0.1386263281106949
mvtec_ad,screw,padim,14,0.22025060653686523
mvtec_ad,screw,padim,15,0.13977872729301452
mvtec_ad,screw,padim,16,0.13677653968334197
mvtec_ad,screw,padim,17,0.14052837789058686
mvtec_ad,screw,padim,18,0.1416824519634247
mvtec_ad,screw,padim,19,0.13996447622776031
mvtec_ad,tile,padim,0,0.16593716287205362
mvtec_ad,tile,padim,1,0.1684614246727055
mvtec_ad,tile,padim,2,0.16358137334513867
mvtec_ad,tile,padim,3,0.1678143953665709
mvtec_ad,tile,padim,4,0.16386272153283796
mvtec_ad,tile,padim,5,0.16187213221166888
mvtec_ad,tile,padim,6,0.1649157450749324
mvtec_ad,tile,padim,7,0.16144917357681143
mvtec_ad,tile,padim,8,0.17208047402210724
mvtec_ad,tile,padim,9,0.16507810812730056
mvtec_ad,tile,padim,10,0.1654636758005517
mvtec_ad,tile,padim,11,0.1627115918020917
mvtec_ad,tile,padim,12,0.16192363877581734
mvtec_ad,tile,padim,13,0.16341724558773205
mvtec_ad,tile,padim,14,0.16293740272521973
mvtec_ad,tile,padim,15,0.1687338535602276
mvtec_ad,tile,padim,16,0.16629607860858625
mvtec_ad,tile,padim,17,0.16326067590305948
mvtec_ad,tile,padim,18,0.16202789494115064
mvtec_ad,tile,padim,19,0.16317377946315667
mvtec_ad,toothbrush,padim,0,0.20125298272995723
mvtec_ad,toothbrush,padim,1,0.2040021816889445
mvtec_ad,toothbrush,padim,2,0.20298979395911806
mvtec_ad,toothbrush,padim,3,0.19669900621686662
mvtec_ad,toothbrush,padim,4,0.20441505454835437
mvtec_ad,toothbrush,padim,5,0.20444179148901076
mvtec_ad,toothbrush,padim,6,0.19744770867483957
mvtec_ad,toothbrush,padim,7,0.20770743915012904
mvtec_ad,toothbrush,padim,8,0.20088042531694686
mvtec_ad,toothbrush,padim,9,0.2058710711342948
mvtec_ad,toothbrush,padim,10,0.2053165322258359
mvtec_ad,toothbrush,padim,11,0.19832269350687662
mvtec_ad,toothbrush,padim,12,0.204534649848938
mvtec_ad,toothbrush,padim,13,0.20067211559840611
mvtec_ad,toothbrush,padim,14,0.2040631203424363
mvtec_ad,toothbrush,padim,15,0.1980890432993571
mvtec_ad,toothbrush,padim,16,0.2054823977606637
mvtec_ad,toothbrush,padim,17,0.19892147609165736
mvtec_ad,toothbrush,padim,18,0.20932055654979886
mvtec_ad,toothbrush,padim,19,0.20490279084160215
mvtec_ad,transistor,padim,0,0.18205337047576906
mvtec_ad,transistor,padim,1,0.18451178550720215
mvtec_ad,transistor,padim,2,0.18484468936920165
mvtec_ad,transistor,padim,3,0.1819602942466736
mvtec_ad,transistor,padim,4,0.18268369674682616
mvtec_ad,transistor,padim,5,0.1832791829109192
mvtec_ad,transistor,padim,6,0.1796001648902893
mvtec_ad,transistor,padim,7,0.18382287740707398
mvtec_ad,transistor,padim,8,0.1841398310661316
mvtec_ad,transistor,padim,9,0.18005223989486693
mvtec_ad,transistor,padim,10,0.1828912353515625
mvtec_ad,transistor,padim,11,0.17801928281784057
mvtec_ad,transistor,padim,12,0.18284459590911864
mvtec_ad,transistor,padim,13,0.18037416219711302
mvtec_ad,transistor,padim,14,0.1832396912574768
mvtec_ad,transistor,padim,15,0.18469377994537353
mvtec_ad,transistor,padim,16,0.1813638424873352
mvtec_ad,transistor,padim,17,0.1817173504829407
mvtec_ad,transistor,padim,18,0.18275314569473267
mvtec_ad,transistor,padim,19,0.1815982675552368
mvtec_ad,wood,padim,0,0.18872497051577025
mvtec_ad,wood,padim,1,0.1878425441210783
mvtec_ad,wood,padim,2,0.1885079492496539
mvtec_ad,wood,padim,3,0.18745551531827903
mvtec_ad,wood,padim,4,0.1881423087059697
mvtec_ad,wood,padim,5,0.19830063324940356
mvtec_ad,wood,padim,6,0.19825400883638405
mvtec_ad,wood,padim,7,0.19388918937007082
mvtec_ad,wood,padim,8,0.18828225437598892
mvtec_ad,wood,padim,9,0.18731488457208947
mvtec_ad,wood,padim,10,0.1843063318276707
mvtec_ad,wood,padim,11,0.1854894432840468
mvtec_ad,wood,padim,12,0.18750751169422006
mvtec_ad,wood,padim,13,0.33687389349635644
mvtec_ad,wood,padim,14,0.18663570850710326
mvtec_ad,wood,padim,15,0.18549561198753647
mvtec_ad,wood,padim,16,0.18161301371417468
mvtec_ad,wood,padim,17,0.18590970884395552
mvtec_ad,wood,padim,18,0.1879943835584423
mvtec_ad,wood,padim,19,0.1857705931120281
mvtec_ad,zipper,padim,0,0.1445603244352025
mvtec_ad,zipper,padim,1,0.14665916266030823
mvtec_ad,zipper,padim,2,0.14751473641553461
mvtec_ad,zipper,padim,3,0.14490921923656339
mvtec_ad,zipper,padim,4,0.1439339214602843
mvtec_ad,zipper,padim,5,0.14437555793105372
mvtec_ad,zipper,padim,6,0.14195087887593452
mvtec_ad,zipper,padim,7,0.14217357288133228
mvtec_ad,zipper,padim,8,0.144376025294626
mvtec_ad,zipper,padim,9,0.26459357754284185
mvtec_ad,zipper,padim,10,0.14306327680878292
mvtec_ad,zipper,padim,11,0.14039879129422422
mvtec_ad,zipper,padim,12,0.14231844295729076
mvtec_ad,zipper,padim,13,0.14205481358711294
mvtec_ad,zipper,padim,14,0.1427805818469319
mvtec_ad,zipper,padim,15,0.14218642537956996
mvtec_ad,zipper,padim,16,0.14424893713944795
mvtec_ad,zipper,padim,17,0.14249966476137274
mvtec_ad,zipper,padim,18,0.14417536685008878
mvtec_ad,zipper,padim,19,0.16310577834678802
visa,candle,padim,0,0.11989332437515259
visa,candle,padim,1,0.12235013127326966
visa,candle,padim,2,0.11778764963150025
visa,candle,padim,3,0.11836339592933655
visa,candle,padim,4,0.12002128839492798
visa,candle,padim,5,0.11697208523750305
visa,candle,padim,6,0.11726250529289245
visa,candle,padim,7,0.12127607941627502
visa,candle,padim,8,0.11746839523315429
visa,candle,padim,9,0.11596662998199463
visa,candle,padim,10,0.1173784339427948
visa,candle,padim,11,0.11819295525550842
visa,candle,padim,12,0.2035014533996582
visa,candle,padim,13,0.11628620386123657
visa,candle,padim,14,0.12364918470382691
visa,candle,padim,15,0.11916197896003723
visa,candle,padim,16,0.1201464581489563
visa,candle,padim,17,0.11918675899505615
visa,candle,padim,18,0.12193334341049195
visa,candle,padim,19,0.11979947805404663
visa,capsules,padim,0,0.11805455535650253
visa,capsules,padim,1,0.11680487245321274
visa,capsules,padim,2,0.11726212501525879
visa,capsules,padim,3,0.11552052199840546
visa,capsules,padim,4,0.11642464697360992
visa,capsules,padim,5,0.11664910167455673
visa,capsules,padim,6,0.11521127372980118
visa,capsules,padim,7,0.11629028171300888
visa,capsules,padim,8,0.11878049820661545
visa,capsules,padim,9,0.11624700576066971
visa,capsules,padim,10,0.11473027467727662
visa,capsules,padim,11,0.1200709655880928
visa,capsules,padim,12,0.11729071736335754
visa,capsules,padim,13,0.11623683571815491
visa,capsules,padim,14,0.11385258585214615
visa,capsules,padim,15,0.11727799773216248
visa,capsules,padim,16,0.11464931964874267
visa,capsules,padim,17,0.11655922085046769
visa,capsules,padim,18,0.11462905704975128
visa,capsules,padim,19,0.11602089107036591
visa,cashew,padim,0,0.1286266819636027
visa,cashew,padim,1,0.18407894293467203
visa,cashew,padim,2,0.1665659729639689
visa,cashew,padim,3,0.1256263287862142
visa,cashew,padim,4,0.12443960666656494
visa,cashew,padim,5,0.12722856044769287
visa,cashew,padim,6,0.1253017457326253
visa,cashew,padim,7,0.12726792971293133
visa,cashew,padim,8,0.126230681737264
visa,cashew,padim,9,0.1257109753290812
visa,cashew,padim,10,0.12731134096781413
visa,cashew,padim,11,0.1267089541753133
visa,cashew,padim,12,0.12675257047017416
visa,cashew,padim,13,0.12544533570607502
visa,cashew,padim,14,0.12639467557271322
visa,cashew,padim,15,0.12820558547973632
visa,cashew,padim,16,0.12744527022043864
visa,cashew,padim,17,0.12617825190226237
visa,cashew,padim,18,0.12459057013193767
visa,cashew,padim,19,0.12593943119049072
visa,chewinggum,padim,0,0.12354213078816732
visa,chewinggum,padim,1,0.11930777072906494
visa,chewinggum,padim,2,0.12176612536112467
visa,chewinggum,padim,3,0.12029914220174154
visa,chewinggum,padim,4,0.12056327819824218
visa,chewinggum,padim,5,0.12097672939300537
visa,chewinggum,padim,6,0.1193067185084025
visa,chewinggum,padim,7,0.11971287886301676
visa,chewinggum,padim,8,0.119852081934611
visa,chewinggum,padim,9,0.11943392594655355
visa,chewinggum,padim,10,0.11928199927012126
visa,chewinggum,padim,11,0.11798541386922201
visa,chewinggum,padim,12,0.118530535697937
visa,chewinggum,padim,13,0.11837380409240722
visa,chewinggum,padim,14,0.11693613847096761
visa,chewinggum,padim,15,0.20964627901713054
visa,chewinggum,padim,16,0.11783512592315674
visa,chewinggum,padim,17,0.12496257623036702
visa,chewinggum,padim,18,0.11907685120900471
visa,chewinggum,padim,19,0.12255634625752766
visa,fryum,padim,0,0.12026039282480876
visa,fryum,padim,1,0.11692735354105631
visa,fryum,padim,2,0.11658780574798584
visa,fryum,padim,3,0.11782076676686605
visa,fryum,padim,4,0.11654535770416259
visa,fryum,padim,5,0.11784518241882325
visa,fryum,padim,6,0.11490369319915772
visa,fryum,padim,7,0.1169147237141927
visa,fryum,padim,8,0.11461772441864014
visa,fryum,padim,9,0.11627283891042074
visa,fryum,padim,10,0.11531186103820801
visa,fryum,padim,11,0.11286941528320313
visa,fryum,padim,12,0.11596504211425782
visa,fryum,padim,13,0.1132458782196045
visa,fryum,padim,14,0.11635545253753662
visa,fryum,padim,15,0.11358311335245769
visa,fryum,padim,16,0.1114461898803711
visa,fryum,padim,17,0.11290678819020589
visa,fryum,padim,18,0.11224252700805665
visa,fryum,padim,19,0.11542232672373454
visa,macaroni1,padim,0,0.1143064796924591
visa,macaroni1,padim,1,0.11235590696334839
visa,macaroni1,padim,2,0.11595551490783691
visa,macaroni1,padim,3,0.11144249796867371
visa,macaroni1,padim,4,0.11042501211166382
visa,macaroni1,padim,5,0.111733820438385
visa,macaroni1,padim,6,0.11041241407394409
visa,macaroni1,padim,7,0.11300663828849793
visa,macaroni1,padim,8,0.18594342589378357
visa,macaroni1,padim,9,0.11802985668182372
visa,macaroni1,padim,10,0.11111266732215881
visa,macaroni1,padim,11,0.11329936981201172
visa,macaroni1,padim,12,0.11217305898666381
visa,macaroni1,padim,13,0.11254781126976013
visa,macaroni1,padim,14,0.11254700541496276
visa,macaroni1,padim,15,0.1132611107826233
visa,macaroni1,padim,16,0.11310202240943909
visa,macaroni1,padim,17,0.11206672072410584
visa,macaroni1,padim,18,0.11253317475318908
visa,macaroni1,padim,19,0.11552671670913696
visa,macaroni2,padim,0,0.11716035604476929
visa,macaroni2,padim,1,0.11208500146865845
visa,macaroni2,padim,2,0.11178276896476745
visa,macaroni2,padim,3,0.11272219657897949
visa,macaroni2,padim,4,0.11286257386207581
visa,macaroni2,padim,5,0.11227402448654175
visa,macaroni2,padim,6,0.11298500657081605
visa,macaroni2,padim,7,0.11315512299537658
visa,macaroni2,padim,8,0.11205077052116394
visa,macaroni2,padim,9,0.11240601658821106
visa,macaroni2,padim,10,0.11288835287094116
visa,macaroni2,padim,11,0.19697861552238463
visa,macaroni2,padim,12,0.11373509168624878
visa,macaroni2,padim,13,0.11075019478797912
visa,macaroni2,padim,14,0.12198757410049438
visa,macaroni2,padim,15,0.1145246422290802
visa,macaroni2,padim,16,0.11469462513923645
visa,macaroni2,padim,17,0.11445840001106262
visa,macaroni2,padim,18,0.11564090013504029
visa,macaroni2,padim,19,0.11260377049446106
visa,pcb1,padim,0,0.11770795822143555
visa,pcb1,padim,1,0.11947622179985046
visa,pcb1,padim,2,0.1182805335521698
visa,pcb1,padim,3,0.11713521718978882
visa,pcb1,padim,4,0.11800899267196656
visa,pcb1,padim,5,0.11719133019447327
visa,pcb1,padim,6,0.11621500968933106
visa,pcb1,padim,7,0.11598114013671874
visa,pcb1,padim,8,0.11597874641418457
visa,pcb1,padim,9,0.11694676637649536
visa,pcb1,padim,10,0.11618108749389648
visa,pcb1,padim,11,0.11752882242202758
visa,pcb1,padim,12,0.11630929470062255
visa,pcb1,padim,13,0.1174283230304718
visa,pcb1,padim,14,0.11702296257019043
visa,pcb1,padim,15,0.11858561158180236
visa,pcb1,padim,16,0.11756538033485413
visa,pcb1,padim,17,0.11727771997451782
visa,pcb1,padim,18,0.11702472925186157
visa,pcb1,padim,19,0.1522567331790924
visa,pcb2,padim,0,0.11514641284942627
visa,pcb2,padim,1,0.11673100233078003
visa,pcb2,padim,2,0.11769716382026672
visa,pcb2,padim,3,0.11973917961120606
visa,pcb2,padim,4,0.11767419576644897
visa,pcb2,padim,5,0.11915894150733948
