dataset,category_type,window_size,image_AUROC,pixel_AUPRO
mvtec_ad,bottle,1,1.0,0.9408181309700012
mvtec_ad,bottle,3,0.9964285790920258,0.945253312587738
mvtec_ad,bottle,5,1.0,0.9410210251808168
mvtec_ad,bottle,7,0.997619092464447,0.9452309608459473
mvtec_ad,bottle,9,0.9952380657196044,0.9493466019630432
mvtec_ad,bottle,11,0.995238184928894,0.9494262337684632
mvtec_ad,bottle,13,0.9952380657196044,0.9494662284851074
mvtec_ad,bottle,15,0.9952380657196044,0.9494807720184326
mvtec_ad,cable,1,0.933095932006836,0.9096145629882812
mvtec_ad,cable,3,0.8719077706336975,0.8925342559814453
mvtec_ad,cable,5,0.9642053842544556,0.9224292039871216
mvtec_ad,cable,7,0.8866191804409027,0.8970287144184113
mvtec_ad,cable,9,0.8097825646400452,0.871234118938446
mvtec_ad,cable,11,0.7977886199951172,0.8708970546722412
mvtec_ad,cable,13,0.7925412058830261,0.8704097867012024
mvtec_ad,cable,15,0.7927286624908447,0.8697893023490906
mvtec_ad,capsule,1,0.949740707874298,0.9357309341430664
mvtec_ad,capsule,3,0.9561228454113007,0.9406192004680634
mvtec_ad,capsule,5,0.9912245273590088,0.9404926896095276
mvtec_ad,capsule,7,0.9866373836994171,0.9424239993095398
mvtec_ad,capsule,9,0.9824491143226624,0.9444940686225892
mvtec_ad,capsule,11,0.9824491143226624,0.9446133971214294
mvtec_ad,capsule,13,0.9824491143226624,0.9447080492973328
mvtec_ad,capsule,15,0.9824491143226624,0.9447711110115052
mvtec_ad,hazelnut,1,0.9914286732673644,0.9470293521881104
mvtec_ad,hazelnut,3,0.9914285838603973,0.9498034119606018
mvtec_ad,hazelnut,5,0.9967858195304872,0.9507577419281006
mvtec_ad,hazelnut,7,0.995535671710968,0.9524210095405579
mvtec_ad,hazelnut,9,0.9953571557998656,0.95512717962265
mvtec_ad,hazelnut,11,0.9950000047683716,0.9550945162773132
mvtec_ad,hazelnut,13,0.9967857003211976,0.9554161429405212
mvtec_ad,hazelnut,15,0.996428608894348,0.9551735520362854
mvtec_ad,metal_nut,1,0.9931573867797852,0.9362732172012328
mvtec_ad,metal_nut,3,0.9904691874980927,0.9400004744529724
mvtec_ad,metal_nut,5,0.9980449676513672,0.9417085647583008
mvtec_ad,metal_nut,7,0.992668628692627,0.9426954686641693
mvtec_ad,metal_nut,9,0.9897361397743224,0.9436354041099548
mvtec_ad,metal_nut,11,0.9892473816871644,0.9446077346801758
mvtec_ad,metal_nut,13,0.9892473816871644,0.9455243945121764
mvtec_ad,metal_nut,15,0,0
mvtec_ad,pill,1,0.9135297536849976,0.9497190713882446
mvtec_ad,pill,3,0.8885706663131714,0.9521492421627045
mvtec_ad,pill,5,0.926895797252655,0.9533351063728333
mvtec_ad,pill,7,0.9019366800785065,0.9531446397304535
mvtec_ad,pill,9,0.8696127533912659,0.9530183672904968
mvtec_ad,pill,11,0.8600655198097229,0.9531101584434508
mvtec_ad,pill,13,0.8589743971824646,0.9531568884849548
mvtec_ad,pill,15,0,0
mvtec_ad,screw,1,0.9743798971176147,0.9605787992477416
mvtec_ad,screw,3,0.9633121192455292,0.9672528207302094
mvtec_ad,screw,5,0.9842180013656616,0.966218113899231
mvtec_ad,screw,7,0.9814510941505432,0.9663975536823272
mvtec_ad,screw,9,0.9764295816421508,0.9671335220336914
mvtec_ad,screw,11,0.9840130805969238,0.9670308232307434
mvtec_ad,screw,13,0.985037922859192,0.966938018798828
mvtec_ad,screw,15,0,0
mvtec_ad,toothbrush,1,0.9583333134651184,0.9161900281906128
mvtec_ad,toothbrush,3,0.9444443881511688,0.9270607531070709
mvtec_ad,toothbrush,5,0.9444444179534912,0.9149545431137084
mvtec_ad,toothbrush,7,0.93472221493721,0.9269257485866547
mvtec_ad,toothbrush,9,0.9277777671813964,0.938904345035553
mvtec_ad,toothbrush,11,0.9277777671813964,0.9389669299125672
mvtec_ad,toothbrush,13,0.9277778267860411,0.9390206336975098
mvtec_ad,toothbrush,15,0,0
mvtec_ad,transistor,1,0.9866666793823242,0.9457712173461914
mvtec_ad,transistor,3,0.9685417115688324,0.9379393458366394
mvtec_ad,transistor,5,0.9941667318344116,0.950705111026764
mvtec_ad,transistor,7,0.9637500643730164,0.9367101192474365
mvtec_ad,transistor,9,0.9337500333786012,0.9213101863861084
mvtec_ad,transistor,11,0.9325000047683716,0.91997230052948
mvtec_ad,transistor,13,0.9304166436195374,0.918923795223236
mvtec_ad,transistor,15,0,0
mvtec_ad,zipper,1,0.9296218752861024,0.9377277493476868
mvtec_ad,zipper,3,0.8979779481887817,0.9415969848632812
mvtec_ad,zipper,5,0.9472163915634156,0.941843032836914
mvtec_ad,zipper,7,0.9142594933509827,0.9421043992042542
mvtec_ad,zipper,9,0.8855041861534119,0.9419732689857484
mvtec_ad,zipper,11,0.8873424530029297,0.94181227684021
mvtec_ad,zipper,13,0.8904937505722046,0.941624402999878
mvtec_ad,zipper,15,0,0
mvtec_ad,carpet,1,0.9863563776016236,0.949848771095276
mvtec_ad,carpet,3,0.9656902253627777,0.9473085403442382
mvtec_ad,carpet,5,0.9819421768188475,0.9460915327072144
mvtec_ad,carpet,7,0.9624799191951752,0.9429014027118683
mvtec_ad,carpet,9,0.941813826560974,0.9389148354530334
mvtec_ad,carpet,11,0.9398073554039,0.9377071261405944
mvtec_ad,carpet,13,0.9390048384666444,0.9366719722747804
mvtec_ad,carpet,15,0.9369983673095704,0.9356884360313416
mvtec_ad,grid,1,0.9590643644332886,0.8452926874160767
mvtec_ad,grid,3,0.9310777187347412,0.8934215009212494
mvtec_ad,grid,5,0.981620728969574,0.9047165513038636
mvtec_ad,grid,7,0.9256474673748016,0.9076131582260132
mvtec_ad,grid,9,0.854636549949646,0.906302571296692
mvtec_ad,grid,11,0.841269850730896,0.9030224680900574
mvtec_ad,grid,13,0.834586501121521,0.9030119776725768
mvtec_ad,grid,15,0.8320802450180054,0.901935338973999
mvtec_ad,leather,1,0.9989809393882751,0.9697654843330384
mvtec_ad,leather,3,0.993036687374115,0.9737315475940704
mvtec_ad,leather,5,0.9989809393882751,0.9693375825881958
mvtec_ad,leather,7,0.9962635636329651,0.9734106063842773
mvtec_ad,leather,9,0.993546187877655,0.9774271845817566
mvtec_ad,leather,11,0.993546187877655,0.9770826697349548
mvtec_ad,leather,13,0.993546187877655,0.9769185781478882
mvtec_ad,leather,15,0.9932065606117249,0.976782500743866
mvtec_ad,tile,1,0.9909812211990356,0.8184312582015991
mvtec_ad,tile,3,0.9549062252044678,0.7814803421497345
mvtec_ad,tile,5,0.9949495196342468,0.8206751346588135
mvtec_ad,tile,7,0.9503968060016632,0.776077538728714
mvtec_ad,tile,9,0.8986291885375977,0.726884663105011
mvtec_ad,tile,11,0.8971861600875854,0.7221782803535461
mvtec_ad,tile,13,0.8950216770172119,0.7197433710098267
mvtec_ad,tile,15,0,0
mvtec_ad,wood,1,0.985087752342224,0.8786208033561707
mvtec_ad,wood,3,0.9842105507850647,0.8916080296039581
mvtec_ad,wood,5,0.9877192378044128,0.8783000707626343
mvtec_ad,wood,7,0.9846490621566772,0.8903358578681946
mvtec_ad,wood,9,0.9815789461135864,0.9018266201019288
mvtec_ad,wood,11,0.9824560880661012,0.9013363718986512
mvtec_ad,wood,13,0.9824560880661012,0.9006312489509583
mvtec_ad,wood,15,0,0
visa,pcb1,1,0.9171000123023988,0.8510738611221313
visa,pcb1,3,0.9253000020980834,0.8879334628582001
visa,pcb1,5,0.947100043296814,0.8905647993087769
visa,pcb1,7,0.9401499927043915,0.8941883146762848
visa,pcb1,9,0.947100043296814,0.9038290977478028
visa,pcb1,11,0.9426000118255616,0.9031338095664978
visa,pcb1,13,0.9460999965667723,0.8986272215843201
visa,pcb1,15,0.9527000784873962,0.9039201140403748
visa,pcb2,1,0.9314000606536864,0.8732349872589111
visa,pcb2,3,0.934550017118454,0.8950672149658203
visa,pcb2,5,0.9469000101089478,0.8872100710868835
visa,pcb2,7,0.9435000121593475,0.901554524898529
visa,pcb2,9,0.9286999702453612,0.9007935523986816
visa,pcb2,11,0.9302999377250672,0.909121036529541
visa,pcb2,13,0.9330999851226808,0.9078558087348938
visa,pcb2,15,0.9321999549865724,0.9072372317314148
visa,pcb3,1,0.920594036579132,0.8520534038543701
visa,pcb3,3,0.9429207742214203,0.870812714099884
visa,pcb3,5,0.9619802236557008,0.8754422068595886
visa,pcb3,7,0.9596534669399261,0.8815644383430481
visa,pcb3,9,0.952871322631836,0.8877209424972534
visa,pcb3,11,0.958712875843048,0.885266125202179
visa,pcb3,13,0.9511881470680236,0.8832906484603882
visa,pcb3,15,0.9497029185295104,0.8879282474517822
visa,pcb4,1,0.9965345859527588,0.8467438817024231
visa,pcb4,3,0.9972772896289825,0.8568155169487
visa,pcb4,5,0.9972277283668518,0.8841233849525452
visa,pcb4,7,0.9978217482566832,0.8639156818389893
visa,pcb4,9,0.99504953622818,0.869530439376831
visa,pcb4,11,0.9963366389274596,0.8761773109436035
visa,pcb4,13,0.994257390499115,0.8693385124206543
visa,pcb4,15,0.9957424402236938,0.8724612593650818
visa,candle,1,0.9228000044822692,0.9456433653831482
visa,candle,3,0.8770999908447266,0.9519816935062408
visa,candle,5,0.933899998664856,0.952895998954773
visa,candle,7,0.9129999876022339,0.9503704905509949
visa,candle,9,0.8659999966621399,0.9511160254478456
visa,candle,11,0.8744999766349792,0.9507652521133424
visa,candle,13,0.8878499269485474,0.9492781162261964
visa,candle,15,0.8715999126434326,0.9511387944221495
visa,capsules,1,0.6444999575614929,0.6352010369300842
visa,capsules,3,0.675125002861023,0.733562707901001
visa,capsules,5,0.6696667075157166,0.7047271132469177
visa,capsules,7,0.7129166722297668,0.780844509601593
visa,capsules,9,0.7586666345596313,0.8294951319694519
visa,capsules,11,0.7568333148956299,0.8400501012802124
visa,capsules,13,0.7418333292007446,0.8461707830429077
visa,capsules,15,0.7529166340827942,0.8428258299827576
visa,macaroni1,1,0.8578499555587769,0.8959689736366272
visa,macaroni1,3,0.9175999462604523,0.9227710664272308
visa,macaroni1,5,0.9185999631881714,0.9227983355522156
visa,macaroni1,7,0.9291500449180602,0.9301905632019042
visa,macaroni1,9,0.9487000703811646,0.9330601692199708
visa,macaroni1,11,0.9499000310897828,0.936066210269928
visa,macaroni1,13,0.9532999992370604,0.9368420839309692
visa,macaroni1,15,0.944700002670288,0.9349977970123292
visa,macaroni2,1,0.6553499698638916,0.7281581163406372
visa,macaroni2,3,0.7451500296592712,0.8054161965847015
visa,macaroni2,5,0.7583000063896179,0.8003318905830383
visa,macaroni2,7,0.8000499904155731,0.8575118482112885
visa,macaroni2,9,0.8700999617576599,0.8835461139678955
visa,macaroni2,11,0.8921999931335449,0.9057179689407348
visa,macaroni2,13,0.8814000487327576,0.9078359603881836
visa,macaroni2,15,0.8730000257492065,0.9118391871452332
visa,cashew,1,0.9320000410079956,0.8837656378746033
visa,cashew,3,0.9314000308513641,0.8596339225769043
visa,cashew,5,0.9751999974250792,0.8894824981689453
visa,cashew,7,0.9447999894618988,0.8633072376251221
visa,cashew,9,0.92739999294281,0.8413073420524597
visa,cashew,11,0.9291999340057372,0.839982807636261
visa,cashew,13,0.9277999401092528,0.8388766646385193
visa,cashew,15,0.9344000220298768,0.8395913243293762
visa,chewinggum,1,0.991599977016449,0.78184974193573
visa,chewinggum,3,0.9863999783992767,0.7307391464710236
visa,chewinggum,5,0.9923999309539796,0.7858366966247559
visa,chewinggum,7,0.9844000041484833,0.7369075119495392
visa,chewinggum,9,0.973800003528595,0.6822441220283508
visa,chewinggum,11,0.9712000489234924,0.6858818531036377
visa,chewinggum,13,0.9722000360488892,0.6865776181221008
visa,chewinggum,15,0.9709999561309814,0.6872228384017944
visa,fryum,1,0.8988000154495239,0.8200944662094116
visa,fryum,3,0.9265000224113464,0.8438606560230255
visa,fryum,5,0.913599967956543,0.8446060419082642
visa,fryum,7,0.9331000447273254,0.8543961942195892
visa,fryum,9,0.9429999589920044,0.8649203777313232
visa,fryum,11,0.9421999454498292,0.8659604787826538
visa,fryum,13,0.9393999576568604,0.8692646622657776
visa,fryum,15,0.9521999955177308,0.8660639524459839
visa,pipe_fryum,1,0.9811999797821044,0.9282838106155396
visa,pipe_fryum,3,0.9875999987125397,0.9377661049365997
visa,pipe_fryum,5,0.9909999370574952,0.938185453414917
visa,pipe_fryum,7,0.9922000169754028,0.9450855255126952
visa,pipe_fryum,9,0.989799976348877,0.946696937084198
visa,pipe_fryum,11,0.989799976348877,0.9468327164649964
visa,pipe_fryum,13,0.9911999702453612,0.9475376605987548
visa,pipe_fryum,15,0.9938000440597534,0.9480736255645752
