dataset,category,model,image_AUROC,pixel_AUPRO
mvtec_ad,bottle,padim,0.997619092464447,0.9290757179260254
mvtec_ad,cable,padim,0.8525112271308899,0.8695063591003418
mvtec_ad,capsule,padim,0.914838433265686,0.9168499708175659
mvtec_ad,carpet,padim,0.9911717772483826,0.9622985124588013
mvtec_ad,grid,padim,0.7961570620536804,0.8363169431686401
mvtec_ad,hazelnut,padim,0.7810714840888977,0.9015710949897766
mvtec_ad,leather,padim,0.9989809393882751,0.976523220539093
mvtec_ad,metal_nut,padim,0.9667644500732422,0.872357189655304
mvtec_ad,pill,padim,0.866066575050354,0.9153242707252502
mvtec_ad,screw,padim,0.8401312232017517,0.9163485765457153
mvtec_ad,tile,padim,0.9437230229377747,0.7953106164932251
mvtec_ad,toothbrush,padim,0.9083333611488342,0.9167283773422241
mvtec_ad,transistor,padim,0.9158333539962769,0.8936672806739807
mvtec_ad,wood,padim,0.9578946828842163,0.8624264001846313
mvtec_ad,zipper,padim,0.8521534204483032,0.902612030506134
visa,candle,padim,0.8742000460624695,0.9319021105766296
visa,capsules,padim,0.6929999589920044,0.43809959292411804
visa,cashew,padim,0.8686000108718872,0.8036841750144958
visa,chewinggum,padim,0.9838000535964966,0.8338790535926819
visa,fryum,padim,0.8748000264167786,0.5128591060638428
visa,macaroni1,padim,0.8155999779701233,0.8482392430305481
visa,macaroni2,padim,0.63919997215271,0.6950299739837646
visa,pcb1,padim,0.8124999403953552,0.8319887518882751
visa,pcb2,padim,0.829800009727478,0.6937296390533447
visa,pipe_fryum,padim,0.9064000248908997,0.8496916890144348
mvtec_ad,bottle,patchcore,1.0,0.9238905906677246
mvtec_ad,cable,patchcore,0.9771364331245422,0.928101658821106
mvtec_ad,capsule,patchcore,0.983246922492981,0.9188356399536133
mvtec_ad,carpet,patchcore,0.9767254590988159,0.9341313242912292
mvtec_ad,grid,patchcore,0.9598997831344604,0.8819334506988525
mvtec_ad,hazelnut,patchcore,0.9975000023841858,0.9465212225914001
mvtec_ad,leather,patchcore,0.9976222515106201,0.9629920125007629
mvtec_ad,metal_nut,patchcore,0.9956011772155762,0.9347416162490845
mvtec_ad,pill,patchcore,0.9168030619621277,0.9445765018463135
mvtec_ad,screw,patchcore,0.9676163196563721,0.9516866207122803
mvtec_ad,tile,patchcore,0.9877345561981201,0.8034862875938416
mvtec_ad,toothbrush,patchcore,0.8944444060325623,0.8868411779403687
mvtec_ad,transistor,patchcore,0.9858333468437195,0.9394726753234863
mvtec_ad,wood,patchcore,0.9868422150611877,0.8539913892745972
mvtec_ad,zipper,patchcore,0.9511554837226868,0.9297102689743042
visa,candle,patchcore,0.9633999466896057,0.9440246820449829
visa,capsules,patchcore,0.6596665978431702,0.600131094455719
visa,cashew,patchcore,0.9606000185012817,0.8982020020484924
visa,chewinggum,patchcore,0.9914000630378723,0.8352683186531067
visa,fryum,patchcore,0.8953999876976013,0.7863667011260986
visa,macaroni1,patchcore,0.86680006980896,0.8811320066452026
visa,macaroni2,patchcore,0.7069000005722046,0.8717253804206848
visa,pcb1,patchcore,0.8684999942779541,0.8604592084884644
visa,pcb2,patchcore,0.9184000492095947,0.8311212658882141
visa,pipe_fryum,patchcore,0.9828000068664551,0.9332152009010315
