dataset,category_type,SPADE_im,SPADE_pix,Padim_im,Padim_pix,Patchcore_im,Patchcore_pix,LWinNN_im,LWinNN_pix
mvtec_ad,objects,0.8268165677785874,0.9291013181209564,0.8895322620868683,0.9034040868282318,0.9669337153434754,0.9304377973079682,0.9747202038764954,0.9423465132713318
mvtec_ad,bottle,0.9888888597488404,0.9478507041931152,0.997619092464447,0.9290757179260254,1.0,0.9238905906677246,1.0,0.9410210251808168
mvtec_ad,cable,0.8131558895111084,0.8490590453147888,0.8525112271308899,0.8695063591003418,0.9771364331245422,0.928101658821106,0.9642053842544556,0.9224292039871216
mvtec_ad,capsule,0.759473443031311,0.9312775731086732,0.914838433265686,0.916849970817566,0.983246922492981,0.9188356399536132,0.9912245273590088,0.9404926896095276
mvtec_ad,hazelnut,0.9392857551574708,0.9472345113754272,0.7810714840888977,0.9015710949897766,0.9975000023841858,0.9465212225914,0.9967858195304872,0.9507577419281006
mvtec_ad,metal_nut,0.796676516532898,0.9333209991455078,0.9667644500732422,0.872357189655304,0.9956011772155762,0.9347416162490844,0.9980449676513672,0.9417085647583008
mvtec_ad,pill,0.8374248743057251,0.9335286617279052,0.866066575050354,0.9153242707252502,0.9168030619621276,0.9445765018463136,0.926895797252655,0.9533351063728333
mvtec_ad,screw,0.4734576642513275,0.9519863724708556,0.8401312232017517,0.9163485765457152,0.967616319656372,0.9516866207122804,0.9842180013656616,0.966218113899231
mvtec_ad,toothbrush,0.9222221970558168,0.941231906414032,0.9083333611488342,0.916728377342224,0.8944444060325623,0.8868411779403687,0.9444444179534912,0.9149545431137084
mvtec_ad,transistor,0.8279166221618652,0.9193503856658936,0.9158333539962769,0.8936672806739807,0.9858333468437196,0.9394726753234864,0.9941667318344116,0.950705111026764
mvtec_ad,zipper,0.9096638560295104,0.9361730217933656,0.8521534204483032,0.902612030506134,0.9511554837226868,0.9297102689743042,0.9472163915634156,0.941843032836914
mvtec_ad,textures,0.8228063583374023,0.8718084216117858,0.9375854969024658,0.8865751385688782,0.9817648530006409,0.8873068928718567,0.9890425205230713,0.9038241744041443
mvtec_ad,carpet,0.7331461310386658,0.9520582556724548,0.9911717772483826,0.9622985124588012,0.976725459098816,0.9341313242912292,0.9819421768188475,0.9460915327072144
mvtec_ad,grid,0.7752715349197388,0.8332493901252747,0.7961570620536804,0.8363169431686401,0.9598997831344604,0.8819334506988525,0.981620728969574,0.9047165513038636
mvtec_ad,leather,0.7978940010070801,0.9783772826194764,0.9989809393882751,0.976523220539093,0.99762225151062,0.9629920125007628,0.9989809393882751,0.9693375825881958
mvtec_ad,tile,0.8910533785820007,0.6900222301483154,0.9437230229377748,0.7953106164932251,0.98773455619812,0.8034862875938416,0.9949495196342468,0.8206751346588135
mvtec_ad,wood,0.9166667461395264,0.9053349494934082,0.9578946828842164,0.8624264001846313,0.9868422150611876,0.8539913892745972,0.9877192378044128,0.8783000707626343
visa,complex_structure,0.7984097450971603,0.8593308180570602,0.8332482725381851,0.7432466149330139,0.9187547266483307,0.8526357114315033,0.9633020013570786,0.8843351155519485
visa,pcb1,0.819350004196167,0.8739853501319885,0.8124999403953552,0.8319887518882751,0.8684999942779541,0.8604592084884644,0.947100043296814,0.8905647993087769
visa,pcb2,0.733199954032898,0.883690595626831,0.829800009727478,0.6937296390533447,0.9184000492095948,0.8311212658882141,0.9469000101089478,0.8872100710868835
visa,pcb3,0.7416831254959106,0.8520910143852234,0.7890099287033081,0.6734566688537598,0.9054455757141112,0.8262811899185181,0.9619802236557008,0.8754422068595886
visa,pcb4,0.8994058966636658,0.827556312084198,0.9016832113265992,0.773811399936676,0.9826732873916626,0.8926811814308167,0.9972277283668518,0.8841233849525452
visa,multiple_instances,0.7385208457708359,0.8167271465063095,0.7554999887943268,0.7283177301287651,0.7991916537284851,0.8242532908916473,0.8201166689395905,0.8451883345842361
visa,candle,0.8519001007080078,0.943231463432312,0.8742000460624695,0.9319021105766296,0.9633999466896056,0.9440246820449828,0.933899998664856,0.952895998954773
visa,capsules,0.6308333277702332,0.6663526296615601,0.6929999589920044,0.438099592924118,0.6596665978431702,0.600131094455719,0.6696667075157166,0.7047271132469177
visa,macaroni1,0.698199987411499,0.9071648120880128,0.8155999779701233,0.8482392430305481,0.86680006980896,0.8811320066452026,0.9185999631881714,0.9227983355522156
visa,macaroni2,0.7731499671936035,0.7501596808433533,0.63919997215271,0.6950299739837646,0.7069000005722046,0.8717253804206848,0.7583000063896179,0.8003318905830383
visa,single_instance,0.7954999953508377,0.8120270520448685,0.9084000289440155,0.7500285059213638,0.9575500190258026,0.8632630556821823,0.9680499583482742,0.8645276725292206
visa,cashew,0.767799973487854,0.8231343626976013,0.8686000108718872,0.8036841750144958,0.9606000185012816,0.8982020020484924,0.9751999974250792,0.8894824981689453
visa,chewinggum,0.8388000130653381,0.6617763638496399,0.9838000535964966,0.8338790535926819,0.9914000630378724,0.8352683186531067,0.9923999309539796,0.7858366966247559
visa,fryum,0.8046000003814697,0.8287172913551331,0.8748000264167786,0.5128591060638428,0.8953999876976013,0.7863667011260986,0.913599967956543,0.8446060419082642
visa,pipe_fryum,0.770799994468689,0.9344801902770996,0.9064000248908995,0.8496916890144348,0.9828000068664552,0.9332152009010316,0.9909999370574952,0.938185453414917
